,suites,rooms,dorms,bwc,parking_spaces,private_area,total_area,total,variation,apartment,floor,dream_property,mcmv,academic_regions,digital_fair,subtype_name,lot,block,tags,royalty_value,latitude,longitude,address.complete,address.street,address.number,address.neighborhood,address.city,address.uf,address.complement
0,1,,0,1,1,"21,71","54,00","169.000,00",0,307,3,0,0,0,False,Apartamento,,,[],0,-23.4094169,-51.9429957,"Rua Bragança, 43 - Zona 07, Maringá - PR",Rua Bragança,43,Zona 07,Maringá,PR,
1,0,,2,1,1,"47,00","0,00","250.000,00",0,,,0,0,0,False,Apartamento,,,[],0,,,"Avenida Pioneiro Antonio Ruiz Saldanha,  - Parque Industrial, Maringá - PR",Avenida Pioneiro Antonio Ruiz Saldanha,,Parque Industrial,Maringá,PR,
2,1,,1,2,1,"53,50","103,00","288.574,34",0,,3,0,0,0,False,Apartamento,,,"[{'name': 'Aceita permuta', 'order': 7}]",1,-23.4154856,-51.9292466,"Rua Marechal Floriano Peixoto, 237, fundos - vista p/ catedral - Zona 07, Maringá - PR",Rua Marechal Floriano Peixoto,237,Zona 07,Maringá,PR,fundos - vista p/ catedral
3,0,,2,1,1,"54,24","78,48","300.000,00",0,807,8,0,0,1,False,Apartamento,,,"[{'name': 'Financiável', 'order': 6}]",0,-23.4019932,-51.9303597,"Rua Olímpio Mendes da Rocha, 355 - Vila Esperança, Maringá - PR",Rua Olímpio Mendes da Rocha,355,Vila Esperança,Maringá,PR,
4,1,,2,2,1,"68,71","88,75","309.000,00",0,12,1,0,0,0,False,Apartamento,,,"[{'name': 'Financiável', 'order': 6}]",0,-23.43525870420274,-51.925595052639764,"Rua Marciano Halchuk, 356, bloco g - Vila Bosque, Maringá - PR",Rua Marciano Halchuk,356,Vila Bosque,Maringá,PR,bloco g
5,1,,2,0,1,"85,00","0,00","310.000,00",0,,,0,0,0,False,Apartamento,,,[],0,-23.4143524169921880000000000,-51.9362335205078100000000000,",  - Zona 07, Maringá - PR",,,Zona 07,Maringá,PR,
6,0,,2,1,1,"49,00","60,00","330.000,00",0,,6,0,0,0,False,Apartamento,,,[],0,,,"Avenida Pioneiro Antonio Ruiz Saldanha, 1733, 605 - Jardim das Estações, Maringá - PR",Avenida Pioneiro Antonio Ruiz Saldanha,1733,Jardim das Estações,Maringá,PR,605
7,0,,2,2,2,"0,00","114,00","330.000,00",0,,,0,0,0,False,Casa,,,[],0,-23.3870424,-51.9004748,"Rua Pioneiro José de Paula, 396 - Jardim Novo Alvorada, Maringá - PR",Rua Pioneiro José de Paula,396,Jardim Novo Alvorada,Maringá,PR,
8,0,,1,1,1,"32,00","68,00","335.000,00",0,,,0,0,0,False,Apartamento,,,[],0,-23.4138577,-51.9416863,"Rua Campos Sales, 210, apto 303 - Zona 07, Maringá - PR",Rua Campos Sales,210,Zona 07,Maringá,PR,apto 303
9,1,,0,1,1,"52,38","68,21","336.400,00",0,02,Térreo,0,0,0,False,Apartamento,,,[],0,-23.453121369942636,-51.93736692009887,"Rua Pioneiro Marcelino Girotto, 85 - Jardim Itália II, Maringá - PR",Rua Pioneiro Marcelino Girotto,85,Jardim Itália II,Maringá,PR,
